Sequence,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,LTC,BTC,858883.541675,14899.3120314,cryptocompare,2017-12-27 19:02:23.972766
1,CCCAGG,LTC,VND,22642.5720078,1.38838506507e+11,cryptocompare,2017-12-27 19:01:37.620889
2,CCCAGG,LTC,BRL,9254.01384156,9001557.10514,cryptocompare,2017-12-27 19:01:37.620889
3,CCCAGG,LTC,RUR,308.54971964,5321410.97972,cryptocompare,2017-12-27 19:01:37.620889
4,CCCAGG,LTC,BNB,7194.60202,197928.608548,cryptocompare,2017-12-27 19:01:37.620889
5,CCCAGG,LTC,PLN,5805.11184951,5847731.63828,cryptocompare,2017-12-27 19:01:37.620889
6,CCCAGG,LTC,CAD,4863.64501571,1708001.12087,cryptocompare,2017-12-27 19:01:37.620889
7,CCCAGG,LTC,THB,1736.42111755,16989989.1359,cryptocompare,2017-12-27 19:01:37.620889
8,CCCAGG,LTC,XMR,692.07979315,504.9149185,cryptocompare,2017-12-27 19:01:37.620889
9,CCCAGG,LTC,ILS,593.35484425,627684.176488,cryptocompare,2017-12-27 19:01:37.620889
10,CCCAGG,LTC,RUB,501.99407364,8244978.28221,cryptocompare,2017-12-27 19:01:37.620889
11,CCCAGG,LTC,CAD,4857.15052432,1705748.51118,cryptocompare,2017-12-27 18:56:14.079042
12,CCCAGG,LTC,XMR,692.07951078,504.9147185,cryptocompare,2017-12-27 18:56:14.079042
13,CCCAGG,LTC,THB,1736.42111755,16989989.1359,cryptocompare,2017-12-27 19:00:09.270211
14,CCCAGG,LTC,ILS,593.35484425,627684.176488,cryptocompare,2017-12-27 18:56:14.079042
15,CCCAGG,LTC,AUD,9725.92593285,3628588.26328,cryptocompare,2017-12-27 19:00:09.270211
16,CCCAGG,LTC,BRL,9254.01384156,9001557.10514,cryptocompare,2017-12-27 19:00:09.270211
17,CCCAGG,LTC,BNB,7194.60202,197928.608548,cryptocompare,2017-12-27 19:00:09.270211
18,CCCAGG,LTC,PLN,5805.11184951,5847731.63828,cryptocompare,2017-12-27 19:00:09.270211
19,CCCAGG,LTC,DOGE,25.62885208,742795.750017,cryptocompare,2017-12-27 18:56:14.079042
20,CCCAGG,LTC,CAD,4863.64501571,1708001.12087,cryptocompare,2017-12-27 19:00:09.270211
21,CCCAGG,LTC,XMR,692.07979315,504.9149185,cryptocompare,2017-12-27 19:00:09.270211
22,CCCAGG,LTC,ILS,593.35484425,627684.176488,cryptocompare,2017-12-27 19:00:09.270211
23,CCCAGG,LTC,RUB,501.99407364,8244978.28221,cryptocompare,2017-12-27 19:00:09.270211
24,CCCAGG,LTC,AIC,22651.2378985,6715596.48193,cryptocompare,2017-12-27 19:01:37.620889
25,CCCAGG,LTC,RUR,308.54971964,5321410.97972,cryptocompare,2017-12-27 19:00:09.270211
26,CCCAGG,LTC,ETH,34790.1854581,12568.0960408,cryptocompare,2017-12-27 19:01:37.620889
27,CCCAGG,LTC,USDT,129216.398897,34822818.4524,cryptocompare,2017-12-27 19:01:37.620889
28,CCCAGG,LTC,HKD,62.18414009,162563.288547,cryptocompare,2017-12-27 19:01:37.620889
29,CCCAGG,LTC,NEO,61.519154,236.329616923,cryptocompare,2017-12-27 19:01:37.620889
30,CCCAGG,LTC,WUSD,46.57979159,10896.4338174,cryptocompare,2017-12-27 19:01:37.620889
31,CCCAGG,LTC,WEUR,46.55488141,10721.7329728,cryptocompare,2017-12-27 19:01:37.620889
32,CCCAGG,LTC,DOGE,25.70498221,745140.762946,cryptocompare,2017-12-27 19:01:37.620889
33,CCCAGG,LTC,OCL,0.00730043,15.97334084,cryptocompare,2017-12-27 19:01:37.620889
34,CCCAGG,LTC,BTC,888079.739881,15413.6630639,cryptocompare,2017-12-27 19:00:09.270211
35,CCCAGG,LTC,KRW,147845.510063,56019946632.4,cryptocompare,2017-12-27 18:56:14.079042
36,CCCAGG,LTC,USDT,128953.037549,34753951.3235,cryptocompare,2017-12-27 18:56:14.079042
37,CCCAGG,LTC,EUR,83160.2960567,18985117.9609,cryptocompare,2017-12-27 18:56:14.079042
38,CCCAGG,LTC,ETH,34741.8429613,12550.962543,cryptocompare,2017-12-27 18:56:14.079042
39,CCCAGG,LTC,AIC,22650.7378985,6715452.38468,cryptocompare,2017-12-27 18:56:14.079042
40,CCCAGG,LTC,VND,22642.0720078,1.38835526314e+11,cryptocompare,2017-12-27 18:56:14.079042
41,CCCAGG,LTC,AUD,9718.02365085,3625763.14792,cryptocompare,2017-12-27 18:56:14.079042
42,CCCAGG,LTC,BRL,9249.21770027,8996983.73787,cryptocompare,2017-12-27 18:56:14.079042
43,CCCAGG,LTC,BNB,7190.1399,197808.132783,cryptocompare,2017-12-27 18:56:14.079042
44,CCCAGG,LTC,PLN,5805.11184951,5847731.63828,cryptocompare,2017-12-27 18:56:14.079042
45,CCCAGG,LTC,WAVES,220.78140504,4283.56263278,cryptocompare,2017-12-27 19:01:37.620889
46,CCCAGG,LTC,NZDT,229.12203937,96377.9957095,cryptocompare,2017-12-27 19:01:37.620889
47,CCCAGG,LTC,GBP,301.06566698,64311.6987155,cryptocompare,2017-12-27 19:01:37.620889
48,CCCAGG,LTC,AUD,9725.92593285,3628588.26328,cryptocompare,2017-12-27 19:01:37.620889
49,CCCAGG,LTC,USD,811725.783282,218155926.547,cryptocompare,2017-12-27 19:01:37.620889
50,CCCAGG,LTC,KRW,148872.209832,56399889841.3,cryptocompare,2017-12-27 19:01:37.620889
51,CCCAGG,LTC,EUR,83202.1364811,18994784.1271,cryptocompare,2017-12-27 19:01:37.620889
52,CCCAGG,LTC,GBP,301.06566698,64311.6987155,cryptocompare,2017-12-27 19:00:09.270211
53,CCCAGG,LTC,NZDT,229.12203937,96377.9957095,cryptocompare,2017-12-27 19:00:09.270211
54,CCCAGG,LTC,WAVES,220.78140504,4283.56263278,cryptocompare,2017-12-27 19:00:09.270211
55,CCCAGG,LTC,WEUR,46.80455967,10731.4726349,cryptocompare,2017-12-27 19:02:23.972766
56,CCCAGG,LTC,NEO,61.453276,236.008337323,cryptocompare,2017-12-27 19:02:23.972766
57,CCCAGG,LTC,HKD,62.18414009,162563.288547,cryptocompare,2017-12-27 19:02:23.972766
58,CCCAGG,LTC,WAVES,217.47256705,4217.33962643,cryptocompare,2017-12-27 19:02:23.972766
59,CCCAGG,LTC,NZDT,229.12203937,96377.9957095,cryptocompare,2017-12-27 19:02:23.972766
60,CCCAGG,LTC,GBP,301.06566698,64311.6987155,cryptocompare,2017-12-27 19:02:23.972766
61,CCCAGG,LTC,RUR,308.54971964,5321410.97972,cryptocompare,2017-12-27 19:02:23.972766
62,CCCAGG,LTC,RUB,494.48137458,8119638.95872,cryptocompare,2017-12-27 19:02:23.972766
63,CCCAGG,LTC,ILS,593.35484425,627684.176488,cryptocompare,2017-12-27 19:02:23.972766
64,CCCAGG,LTC,XMR,658.23209667,479.85622631,cryptocompare,2017-12-27 19:02:23.972766
65,CCCAGG,LTC,THB,1736.42111755,16989989.1359,cryptocompare,2017-12-27 19:02:23.972766
66,CCCAGG,LTC,CAD,4718.82307047,1654908.14864,cryptocompare,2017-12-27 19:02:23.972766
67,CCCAGG,LTC,PLN,5739.27341263,5781143.41954,cryptocompare,2017-12-27 19:02:23.972766
68,CCCAGG,LTC,BNB,6936.34162,190494.206209,cryptocompare,2017-12-27 19:02:23.972766
69,CCCAGG,LTC,BRL,9159.93302925,8906735.66385,cryptocompare,2017-12-27 19:02:23.972766
70,CCCAGG,LTC,AUD,9362.02653324,3488772.44292,cryptocompare,2017-12-27 19:02:23.972766
71,CCCAGG,LTC,VND,21721.4855982,1.32977769099e+11,cryptocompare,2017-12-27 19:02:23.972766
72,CCCAGG,LTC,AIC,21729.1514888,6431931.19768,cryptocompare,2017-12-27 19:02:23.972766
73,CCCAGG,LTC,ETH,33563.6246963,12116.882486,cryptocompare,2017-12-27 19:02:23.972766
74,CCCAGG,LTC,EUR,82448.4988141,18819851.9656,cryptocompare,2017-12-27 19:02:23.972766
75,CCCAGG,LTC,USDT,124960.93204,33631368.9669,cryptocompare,2017-12-27 19:02:23.972766
76,CCCAGG,LTC,KRW,141868.457725,53700819376.6,cryptocompare,2017-12-27 19:02:23.972766
77,CCCAGG,LTC,USD,798267.076104,214387296.663,cryptocompare,2017-12-27 19:02:23.972766
78,CCCAGG,LTC,WUSD,42.87225789,10124.6436294,cryptocompare,2017-12-27 19:02:23.972766
79,CCCAGG,LTC,DOGE,25.70425485,745119.711185,cryptocompare,2017-12-27 19:02:23.972766
80,CCCAGG,LTC,OCL,0.00730043,15.97334084,cryptocompare,2017-12-27 19:02:23.972766
81,CCCAGG,LTC,BTC,888079.739881,15413.6630639,cryptocompare,2017-12-27 19:01:37.620889
82,CCCAGG,LTC,HKD,62.18414009,162563.288547,cryptocompare,2017-12-27 19:00:09.270211
83,CCCAGG,LTC,NEO,61.519154,236.329616923,cryptocompare,2017-12-27 19:00:09.270211
84,CCCAGG,LTC,WUSD,46.57979159,10896.4338174,cryptocompare,2017-12-27 19:00:09.270211
85,CCCAGG,LTC,WEUR,46.55488141,10721.7329728,cryptocompare,2017-12-27 19:00:09.270211
86,CCCAGG,LTC,VND,22642.5720078,1.38838506507e+11,cryptocompare,2017-12-27 19:00:09.270211
87,CCCAGG,LTC,AIC,22651.2378985,6715596.48193,cryptocompare,2017-12-27 19:00:09.270211
88,CCCAGG,LTC,ETH,34790.1854581,12568.0960408,cryptocompare,2017-12-27 19:00:09.270211
89,CCCAGG,LTC,WUSD,46.57979159,10896.4338174,cryptocompare,2017-12-27 18:56:14.079042
90,CCCAGG,LTC,RUB,501.64086359,8239300.26382,cryptocompare,2017-12-27 18:56:14.079042
91,CCCAGG,LTC,RUR,308.48300202,5320280.16897,cryptocompare,2017-12-27 18:56:14.079042
92,CCCAGG,LTC,GBP,300.55598048,64202.1416023,cryptocompare,2017-12-27 18:56:14.079042
93,CCCAGG,LTC,THB,1715.7459529,16793517.0366,cryptocompare,2017-12-27 18:56:14.079042
94,CCCAGG,LTC,NZDT,229.12203937,96377.9957095,cryptocompare,2017-12-27 18:56:14.079042
95,CCCAGG,LTC,HKD,62.18414009,162563.288547,cryptocompare,2017-12-27 18:56:14.079042
96,CCCAGG,LTC,NEO,61.341707,235.669514083,cryptocompare,2017-12-27 18:56:14.079042
97,CCCAGG,LTC,WEUR,46.55488141,10721.7329728,cryptocompare,2017-12-27 18:56:14.079042
98,CCCAGG,LTC,EUR,83202.1364811,18994784.1271,cryptocompare,2017-12-27 19:00:09.270211
99,CCCAGG,LTC,USD,810941.655715,217949688.878,cryptocompare,2017-12-27 18:56:14.079042
100,CCCAGG,LTC,BTC,885961.7888,15377.5911714,cryptocompare,2017-12-27 18:56:14.079042
101,CCCAGG,LTC,OCL,0.00730043,15.97334084,cryptocompare,2017-12-27 19:00:09.270211
102,CCCAGG,LTC,DOGE,25.70498221,745140.762946,cryptocompare,2017-12-27 19:00:09.270211
103,CCCAGG,LTC,USD,811725.783282,218155926.547,cryptocompare,2017-12-27 19:00:09.270211
104,CCCAGG,LTC,KRW,148872.209832,56399889841.3,cryptocompare,2017-12-27 19:00:09.270211
105,CCCAGG,LTC,USDT,129216.398897,34822818.4524,cryptocompare,2017-12-27 19:00:09.270211
106,CCCAGG,LTC,WAVES,212.42843152,4128.19732531,cryptocompare,2017-12-27 18:56:14.079042
107,CCCAGG,LTC,OCL,0.00730043,15.97334084,cryptocompare,2017-12-27 18:56:14.079042
